"";"ano";"CNAE1";"X20";"n"
"1";1960;"Administração pública, defesa e seguridade social";"CE";1
"2";1960;"Administração pública, defesa e seguridade social";"MG";1
"3";1960;"Administração pública, defesa e seguridade social";"RJ";1
"4";1960;"Administração pública, defesa e seguridade social";"SP";2
"5";1960;"Agricultura, pecuária, produção florestal, pesca e aquicultura";"SP";1
"6";1960;"Alojamento e alimentação";"PR";1
"7";1960;"Alojamento e alimentação";"RJ";1
"8";1960;"Alojamento e alimentação";"SP";1
"9";1960;"Artes, cultura, esporte e recreação";"BA";1
"10";1960;"Artes, cultura, esporte e recreação";"MG";1
"11";1960;"Artes, cultura, esporte e recreação";"MS";1
"12";1960;"Artes, cultura, esporte e recreação";"MT";1
"13";1960;"Artes, cultura, esporte e recreação";"RS";2
"14";1960;"Artes, cultura, esporte e recreação";"SP";1
"15";1960;"Atividades administrativas e serviços complementares";"MG";4
"16";1960;"Atividades administrativas e serviços complementares";"PE";2
"17";1960;"Atividades administrativas e serviços complementares";"RJ";3
"18";1960;"Atividades administrativas e serviços complementares";"RS";4
"19";1960;"Atividades administrativas e serviços complementares";"SP";23
"20";1960;"Atividades financeiras, de seguros e serviços relacionados ";"ES";1
"21";1960;"Atividades financeiras, de seguros e serviços relacionados ";"MG";2
"22";1960;"Atividades financeiras, de seguros e serviços relacionados ";"PE";1
"23";1960;"Atividades financeiras, de seguros e serviços relacionados ";"SP";1
"24";1960;"Atividades imobili?rias";"GO";2
"25";1960;"Atividades imobili?rias";"MG";2
"26";1960;"Atividades imobili?rias";"PE";1
"27";1960;"Atividades imobili?rias";"RS";2
"28";1960;"Atividades imobili?rias";"SC";2
"29";1960;"Atividades imobili?rias";"SP";8
"30";1960;"Atividades profissionais, científicas e técnicas";"AL";1
"31";1960;"Atividades profissionais, científicas e técnicas";"BA";1
"32";1960;"Atividades profissionais, científicas e técnicas";"MG";1
"33";1960;"Atividades profissionais, científicas e técnicas";"RJ";2
"34";1960;"Atividades profissionais, científicas e técnicas";"SP";4
"35";1960;"Atividades profissionais, científicas e técnicas";"TO";1
"36";1960;"Comércio; reparação de veículos automotores e motocicletas";"MG";5
"37";1960;"Comércio; reparação de veículos automotores e motocicletas";"RJ";2
"38";1960;"Comércio; reparação de veículos automotores e motocicletas";"RS";1
"39";1960;"Comércio; reparação de veículos automotores e motocicletas";"SC";2
