"";"ano";"n"
"1";1199;1
"2";1601;1
"3";1891;1
"4";1893;1
"5";1899;1
"6";1901;122
"7";1902;3
"8";1903;8
"9";1904;6
"10";1905;4
"11";1906;4
"12";1907;4
"13";1908;5
"14";1909;3
"15";1910;2
"16";1911;3
"17";1912;4
"18";1913;3
"19";1914;3
"20";1915;7
"21";1916;1
"22";1917;5
"23";1918;5
"24";1919;3
"25";1920;6
"26";1921;6
"27";1922;11
"28";1923;3
"29";1924;5
"30";1925;8
"31";1926;3
"32";1927;6
"33";1928;2
"34";1929;13
"35";1930;8
"36";1931;8
"37";1932;8
"38";1933;9
"39";1934;30
"40";1935;8
"41";1936;14
"42";1937;12
"43";1938;11
"44";1939;23
"45";1940;13
"46";1941;26
"47";1942;19
"48";1943;32
"49";1944;27
"50";1945;37
"51";1946;42
"52";1947;43
"53";1948;51
"54";1949;54
"55";1950;41
"56";1951;52
"57";1952;71
"58";1953;71
"59";1954;111
"60";1955;101
"61";1956;103
"62";1957;105
"63";1958;120
"64";1959;148
"65";1960;157
"66";1961;178
"67";1962;205
"68";1963;263
"69";1964;232
"70";1965;957
"71";1966;19050
"72";1967;4624
"73";1968;5123
"74";1969;6720
"75";1970;10800
"76";1971;9219
"77";1972;9002
"78";1973;10917
"79";1974;12597
"80";1975;10522
"81";1976;12832
"82";1977;19253
"83";1978;17682
"84";1979;18598
"85";1980;19680
"86";1981;25841
"87";1982;23998
"88";1983;25880
"89";1984;30674
"90";1985;42824
"91";1986;52124
"92";1987;48044
"93";1988;50423
"94";1989;58647
"95";1990;68966
"96";1991;74876
"97";1992;74473
"98";1993;85458
"99";1994;91236
"100";1995;97671
"101";1996;110051
"102";1997;133887
"103";1998;113251
"104";1999;134475
"105";2000;133532
"106";2001;139699
"107";2002;141280
"108";2003;145873
"109";2004;149417
"110";2005;161874
"111";2006;283665
"112";2007;244958
"113";2008;241647
"114";2009;276241
"115";2010;445460
"116";2011;505903
"117";2012;526116
"118";2013;592252
"119";2014;619842
"120";2015;743419
"121";2016;804892
"122";2017;944990
"123";2018;1175423
"124";2019;1543990
"125";2020;1715677
"126";2021;2249151
"127";2022;2869621
"128";2023;3152512
"129";2024;2135381
